epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1558531873,05/22/2019 09:31:13 -04:00,3,43.6608,-70.2498,04101,Grainy / malt like - coming from St. John street ,,
1558691615,05/24/2019 05:53:35 -04:00,3,43.6435,-70.2702,04102,,,
1559178135,05/29/2019 21:02:15 -04:00,3,43.6466,-70.277,04102,Asphalty,,
1559341934,05/31/2019 18:32:14 -04:00,1,43.6325,-70.2828,04106,,,
1559387558,06/01/2019 07:12:38 -04:00,3,43.6343,-70.2825,04106,Oil fumes,Throat irritation ,
1559436903,06/01/2019 20:55:03 -04:00,4,43.6324,-70.2836,04106,Oil fumes,Throat irritation ,
1559565666,06/03/2019 08:41:06 -04:00,4,43.6458,-70.27,04102,Grainy/malty,,
1559605415,06/03/2019 19:43:35 -04:00,1,43.6324,-70.2834,04106,,,
1559612579,06/03/2019 21:42:59 -04:00,1,43.6287,-70.2727,04106,,,
1559670774,06/04/2019 13:52:54 -04:00,3,43.644,-70.2712,04102,Chemical smell from barber foods,,
1559736020,06/05/2019 08:00:20 -04:00,4,43.6387,-70.2932,04106,,,
1560276724,06/11/2019 14:12:04 -04:00,3,43.6456,-70.2736,04102,Grainy/ food processing,,
1560308635,06/11/2019 23:03:55 -04:00,3,43.6323,-70.2845,04106,Oil fumes,Nausea,
1560339474,06/12/2019 07:37:54 -04:00,4,43.6306,-70.2621,04106,Oil smell,,
1560393052,06/12/2019 22:30:52 -04:00,2,43.6342,-70.2681,04106,,,
1560458990,06/13/2019 16:49:50 -04:00,4,43.6289,-70.2822,04106,,,
1560459035,06/13/2019 16:50:35 -04:00,4,43.6279,-70.2792,04106,Oil,,
1560467324,06/13/2019 19:08:44 -04:00,1,43.6309,-70.2897,04106,,,
1560606916,06/15/2019 09:55:16 -04:00,1,43.6318,-70.2891,04106,,,
1560647332,06/15/2019 21:08:52 -04:00,1,43.6337,-70.2836,04106,,,
1560725710,06/16/2019 18:55:10 -04:00,1,43.6336,-70.2853,04106,,,
1560731911,06/16/2019 20:38:31 -04:00,1,43.6313,-70.2756,04106,,,
1560756157,06/17/2019 03:22:37 -04:00,4,43.63,-70.2726,04106,,,
1560758286,06/17/2019 03:58:06 -04:00,5,43.6291,-70.2757,04106,,,
1560825386,06/17/2019 22:36:26 -04:00,5,43.6309,-70.276,04106,,Eye irritation,
1560825754,06/17/2019 22:42:34 -04:00,3,43.6329,-70.2856,04106,Petroleum ,,
1560826736,06/17/2019 22:58:56 -04:00,1,43.6273,-70.2929,04106,,,
1560857712,06/18/2019 07:35:12 -04:00,3,43.6325,-70.2824,04106,Industrial fumes and car exhaust,,
1560858043,06/18/2019 07:40:43 -04:00,5,43.6319,-70.2883,04106,Oil/asphalt,"Headache, nausea",
1560875597,06/18/2019 12:33:17 -04:00,3,43.6335,-70.2823,04106,Petroleum ,Scratchy throat ,
1560878551,06/18/2019 13:22:31 -04:00,2,43.6326,-70.2892,04106,Oil,,
1560912566,06/18/2019 22:49:26 -04:00,3,43.6497,-70.2691,04102,,,
1561001461,06/19/2019 23:31:01 -04:00,1,43.6297,-70.2744,04106,,,
1561062823,06/20/2019 16:33:43 -04:00,5,43.6355,-70.2879,04106,,,
1561118666,06/21/2019 08:04:26 -04:00,3,43.6315,-70.2753,04106,,,
1561154695,06/21/2019 18:04:55 -04:00,4,43.6315,-70.2753,04106,,,
1561220888,06/22/2019 12:28:08 -04:00,3,43.6335,-70.2837,04106,Tank fumes,,
1561236939,06/22/2019 16:55:39 -04:00,5,43.63,-70.2724,04106,,,
1561335018,06/23/2019 20:10:18 -04:00,3,43.6337,-70.2682,04106,oil,headache ,
1561342718,06/23/2019 22:18:38 -04:00,1,43.6307,-70.276,04106,,,
1561445162,06/25/2019 02:46:02 -04:00,4,43.6305,-70.29,04106,Oil,"Headache, can’t sleep ",
1561460628,06/25/2019 07:03:48 -04:00,4,43.631,-70.2912,04106,Oil,Headache ,
1561545672,06/26/2019 06:41:12 -04:00,3,43.6307,-70.2756,04106,,,
